2019	86.2	16251.93	32903.03	21984.37	1.39	3006.28	3245.23	6900.324252	360799	803.2655	6683.61	5578.9271	18902752.02	5416	412.32641	130.1607385	436.29	9495	94735
1355	80.5	11307.28	26920.86	18424.09	3.6	1455.13	1796.33	3395.05613	166426	647.644656	8594.36	7067.6653	1693818.682	1755.53	285.10322	23.06887296	153.22	4428	49423
7241	45.6	24515.76	18292.23	11609.29	3.75	1737.77	3537.39	8035.50089	252808	241.5585	13890.37	16389.3255	262470.7608	447.65	1306.57681	48.27620968	491.34	80185	266479
3593	49.68	11237.55	18123.87	11354.3	3.48	1213.43	2363.85	3903.41145	140229	139.509734	7251.38	7073.0613	224824.6653	567.19	415.8077317	26.2884997	279.33	40339	157132
2482	56.62	14359.88	20407.57	15878.07	3.8	1356.67	2989.21	3991.70905	97871	135.608389	11014.63	10365.1692	226719.0527	670.97	410.4484723	13.55540697	231.51	22908	100633
4383	64.05	22226.7	20466.84	14789.61	3.68	2643.15	3905.85	8095.3216	312648	1057.695797	13930.21	17726.2865	1596633.205	2713.14	955.79835	38.22481879	434.42	35229	215815
2749	53.4	10568.83	17796.57	13010.63	3.7	850.1	2201.74	4119.81745	82914	130.173638	8206.86	7441.71	262614.4916	385.28	515.75524	18.35505414	220.25	19785	121240
3834	56.5	12582	15696.18	12054.19	4.1	997.55	2794.08	4750.13295	130121	122.465939	6887.46	7475.3845	620681.943	917.62	541.60074	30.12181775	277.65	21749	165255
2347	89.3	19195.69	36230.48	25102.14	3.54	3429.83	3914.88	6814.8106	397868	2262.315714	7729.06	4962.0742	4807491.37	5751.18	170.86984	148.1116756	415.31	4740	107130
7899	61.9	49110.27	26340.73	16781.74	3.22	5148.91	6221.72	15988.38434	865414	3050.087769	25049.05	26692.6245	3334315.519	5652.97	1709.69828	154.0953951	832.45	31680	296390
5463	62.3	32318.85	30970.68	20437.45	3.12	3150.8	3842.59	12028.00432	659000	1170.0019	14743.55	14185.2838	718967.5162	4541.73	1296.25049	150.8906017	750.4	30515	194759
5968	44.8	15300.65	18606.13	13181.46	3.74	1463.56	3302.99	4955.13955	214306	184.332674	7725.03	12455.6893	650336.6899	1179.18	1627.15645	36.84805255	332.34	22884	204210
3720	58.1	17560.18	24907.4	16661.05	3.69	1501.51	2198.18	6276.1676	278412	753.862123	10074.75	9910.8906	345712.2306	3634.44	534.8538	59.30688466	451.52	27147	124232
4488	45.7	11702.82	17494.87	11747.21	2.98	1053.43	2534.6	3485.05883	130247	312.847005	5989.05	9087.5985	341860.9479	415	941.38151	28.15546252	251.04	39154	135570
9637	50.95	45361.85	22791.84	14560.67	3.35	3455.93	5002.07	17155.49475	649565	817.486471	24944.34	26749.6777	1263777.562	2550.76	1740.41342	81.37338377	727.65	68275	416148
9388	40.57	26931.03	18194.8	12336.47	3.35	1721.76	4248.82	9453.60217	269535	225.219889	19166.59	17768.9528	387601.5255	549.03	1989.05725	62.79954538	540.87	76128	349612
