1601	86.5	28014.94	57229.83222	37425.33801	1.43	5430.7875	6824.5284	11005.1	6823.6	676829	3123.5958	10946.3	8370.436	78366515.55	106948	44868872	592878	5129.81	253.159006	21943.7124	419.32	870.581662	9976	120645
1075	82.93	18549.19	37022.32921	27841.38419	3.5	2310.3552	3282.5404	5635.8	1061.8	414784	1762.585503	10467.18	11288.9189	13519355.26	41675	5514411	514669	3751.47	266.9116696	7645.117	106.13	300.672114	5539	68409
6897.86	55.01	34016.32	21484.12667	15436.99398	3.68	3233.8332	6639.184	14364.7	1352.2	954073	467.498186	19083.16	33406.8021	2378556.75	35348	889245	1268873	578.69	1282.782622	3378.8114	269.04	1096.188837	80912	395036
3374.55	57.34	15528.42	20420.00605	13664.44273	3.43	1867.0022	3756.4199	6480.5	330.8	429757	261.991846	7154.7	6040.5394	298861.57	11311	941471	762974	350.14	373.7555525	1162.8449	72.42	584.213513	42490	197525
2415.05	62.02	16096.21	26212.22796	18945.54048	3.63	1703.2095	4529.9252	6700.8	242.1	222801	207.2599	10298.32	14013.1608	157280.45	6271	196087	448092	1245.56	362.66064	940.8598	34.32	491.171764	24218	150325
4271	67.49	23409.24	27835.44292	20463.36355	3.8	2392.7653	4879.4234	13414.1	819.8	543275	1754.069678	10127.48	6676.7399	19901516.62	26495	3858317	980995	1778.06	939.833242	6748.9156	127.24	873.252541	35767	298609
2723	56.65	14944.53	21368.32223	15631.858	3.52	1210.9081	3725.722	7310.4	286	141199	142.015591	9980.11	13283.887	5837083.34	11090	2199199	643872	765.79	425.3622281	1254.9833	57.79	486.104624	20828	153657
3823.01	59.4	15902.68172	21205.78971	15577.48394	4.21	1243.3118	4641.0771	8402.5	321.7	223467	200.394754	9735.03	11291.9794	1895875.66	18221	1467121	734166	479.58	452.0480173	1281.6648	79.42	597.306145	20283	241732
1964.109196	87.7	30632.99	58987.95577	39791.85278	3.92	6642.2638	7547.6208	10946.6	6787.1	453393	5472.7717	12193.11	7246.6031	43414756.22	72806	8106177	514917	6698.65	224.80527	32242.895	711.87	693.794897	5144	134607
7655.664	68.76	85869.76	35024.09197	23468.63237	2.98	8171.5315	10621.0275	28707.1	7006.9	2148335	5226.158642	37353.35	53277.0346	89364544.77	227187	7784223	1767877	4194.72	1515.260657	39997.4539	880.93	2066.496253	32037	469182
5071.8	68	51768.26	42045.69381	27079.05943	2.73	5804.3837	7530.3171	21970.8	12297.9	1599310	2286.167638	22764.48	31696.0276	43404221.47	213805	3247310	1002346	3586.44	1096.040271	25605.0533	1728.41	1794.176124	31979	313520
6110	53.49	27018	21863.30387	15751.74488	2.88	2812.4495	6203.811	10000.2	1411.9	727017	489.036253	13723.44	29275.0615	3411237.85	58213	2495697	1147401	2880.78	1153.68501	3657.2145	247.98	831.804555	24491	305746
3585	64.8	32182.09	30047.74704	21249.34971	3.87	2809.0332	4684.1517	11674.5	3147.2	748141	1502.683917	18509.31	26416.2773	24965223.19	68304	754634	750987	7588.03	604.2284838	11589.9642	392.86	908.947354	27217	182375
4339.1287	54.6	20006.31	22031.44833	14459.01682	3.34	2247.0624	5111.4673	6634.6	686.3	439890	566.063149	10025.14	22085.339	1066179.96	33029	962096	1048289	629.92	1000.29423	3011.1172	129.65	661.479818	37791	234047
9308.9	60.58	72634.14913	26929.94324	17280.68587	3.4	6098.6324	9258.3984	30645.8	2539.3	1676178	1819.789213	36412.57	55202.7222	42331438.23	100522	5116448	2015345	3174.04	1247.259492	17923.3507	392.88	1499.002151	79050	584812
9392	50.16	44552.83	20170.02603	13729.61418	2.76	3407.2187	8215.5182	17618.4	1735.7	695953	555.290911	31047.72	44496.9341	3066830.89	55407	768528	2004662	661.55	1761.742879	5233.9128	332.71	1484.618467	71089	558998
